               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.018501,            0.024495,                   0,             0.99515,                   1,             0.99487,             0.89162,            0.016164,            0.012138,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.019993,            0.024584,                   0,              0.9952,             0.99746,             0.99489,             0.88258,            0.016035,             0.01222,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.018561,            0.024335,                   0,             0.99675,             0.99679,             0.99497,             0.88803,             0.01501,            0.012449,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.018348,            0.022239,                   0,             0.99689,             0.99518,             0.99498,             0.89082,            0.015213,            0.011883,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.018634,            0.024214,                   0,             0.99723,             0.99518,             0.99498,             0.88118,            0.015692,            0.011829,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.018302,            0.022276,                   0,             0.99637,             0.99679,             0.99498,             0.89405,            0.015216,            0.011467,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.018809,            0.023271,                   0,             0.99733,             0.99679,             0.99494,             0.89821,            0.014774,            0.011713,                   0,            0.005314,            0.005314,            0.005314
                 144,             0.01825,            0.022246,                   0,             0.99756,             0.99679,             0.99495,             0.89238,            0.014919,            0.011594,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.017346,            0.019345,                   0,             0.99614,             0.99679,             0.99497,             0.90611,            0.014608,            0.011157,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.018128,            0.024299,                   0,             0.99679,             0.99622,             0.99497,             0.89829,             0.01392,            0.010989,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.018437,            0.024037,                   0,             0.99809,             0.99679,             0.99497,             0.89513,            0.014571,            0.011441,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.017798,            0.021968,                   0,             0.99839,             0.99675,             0.99498,             0.89948,            0.014551,            0.011846,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.016128,             0.01907,                   0,             0.99839,             0.99678,             0.99498,             0.89286,            0.014976,            0.011747,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.017447,            0.023813,                   0,             0.99639,             0.99358,             0.99498,             0.87933,            0.014303,            0.011232,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.019164,            0.022183,                   0,             0.99483,             0.99839,             0.99495,             0.90042,            0.014007,            0.011515,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.017178,            0.019609,                   0,             0.99361,             0.99759,              0.9949,             0.89916,            0.014478,            0.011498,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.018201,            0.020967,                   0,              0.9952,             0.99751,             0.99484,             0.90531,            0.014359,            0.011304,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.016739,            0.021314,                   0,              0.9952,             0.99839,             0.99492,             0.90365,            0.013859,            0.011235,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.017106,            0.021114,                   0,             0.99645,             0.99839,             0.99494,             0.90809,            0.013374,            0.010766,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.017312,            0.022497,                   0,             0.99307,             0.99839,             0.99495,             0.90412,            0.013421,            0.011334,                   0,            0.004885,            0.004885,            0.004885
                 157,             0.01675,            0.019212,                   0,             0.99452,             0.99839,             0.99497,             0.91484,             0.01324,            0.010962,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.015897,            0.018512,                   0,              0.9936,             0.99757,             0.99498,             0.90623,            0.013912,            0.011208,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.016499,            0.017756,                   0,             0.99744,             0.99358,             0.99498,             0.90599,            0.013723,            0.011399,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.017461,            0.020313,                   0,             0.99634,             0.99358,             0.99497,             0.90686,            0.013051,             0.01101,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.017148,            0.019018,                   0,             0.99518,             0.99426,             0.99492,              0.9114,            0.012893,            0.010792,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.016562,            0.021081,                   0,             0.99518,             0.99374,              0.9949,             0.91185,            0.012541,            0.010338,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.015984,            0.021318,                   0,             0.99359,             0.99599,             0.99482,             0.90611,            0.014018,            0.011239,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.016236,            0.022705,                   0,              0.9977,             0.99358,             0.99447,             0.90498,             0.01475,            0.011639,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.017509,            0.022435,                   0,             0.99839,             0.99446,             0.99479,             0.91286,            0.013834,            0.011278,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.017839,             0.02097,                   0,             0.99839,             0.99449,             0.99487,             0.91865,            0.013504,            0.010977,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.017223,            0.021956,                   0,             0.99519,             0.99692,             0.99487,             0.90764,            0.013285,            0.011974,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.016445,            0.021815,                   0,             0.99679,             0.99684,              0.9949,             0.92545,            0.012985,            0.010879,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.015927,            0.018322,                   0,              0.9978,             0.99679,             0.99495,             0.92306,            0.012281,            0.010587,                   0,            0.004456,            0.004456,            0.004456
